N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
82,삼성증권,"41,150",800,-1.91%,"5,000","36,747","89,300",27.12,"358,051",7.24,9.89,
83,한진칼,"55,300","1,100",-1.95%,"2,500","36,643","66,263",15.53,"76,731",-12.35,-19.55,
84,롯데지주,"34,850",650,-1.83%,200,"36,561","104,909",11.11,"242,388",-18.60,-3.03,
85,키움증권,"135,000","4,500",-3.23%,"5,000","35,146","26,034",23.50,"166,048",4.88,27.63,
86,씨에스윈드,"83,100","2,600",-3.03%,500,"35,044","42,171",10.40,"559,789",98.34,8.19,
87,롯데쇼핑,"122,500","2,000",-1.61%,"5,000","34,654","28,289",12.19,"71,503",-4.41,-7.70,
88,일진머티리얼즈,"74,100",900,-1.20%,500,"34,168","46,111",8.92,"213,825",79.94,7.23,
89,NH투자증권,"11,950",200,-1.65%,"5,000","33,628","281,409",16.72,"687,158",6.22,10.32,
90,팬오션,"6,280",240,-3.68%,"1,000","33,571","534,570",10.86,"4,735,543",36.30,3.25,
91,한국항공우주,"34,000","1,000",-2.86%,"5,000","33,142","97,475",13.62,"850,780",44.39,6.39,
92,두산퓨얼셀,"50,500",0,0.00%,100,"33,074","65,494",18.36,"1,127,292",261.66,4.18,
93,SK케미칼,"280,000",500,+0.18%,"5,000","32,904","11,751",19.26,"108,647",14.53,30.49,
94,호텔신라,"83,700","1,300",-1.53%,"5,000","32,851","39,248",17.58,"318,838",-11.81,-36.74,
95,DB손해보험,"46,000","1,350",-2.85%,500,"32,568","70,800",42.86,"222,484",5.83,9.08,
96,동서,"32,450","1,000",-2.99%,500,"32,353","99,700",3.77,"295,089",27.64,8.61,
97,효성티앤씨,"738,000","23,000",+3.22%,"5,000","31,938","4,328",20.63,"84,497",23.35,25.10,
98,현대오토에버,"115,500","2,500",-2.12%,500,"31,675","27,424",1.24,"112,453",41.12,11.09,
99,메리츠증권,"4,680",5,+0.11%,"1,000","31,635","675,962",14.32,"1,639,817",6.05,13.08,
100,대우조선해양,"29,000",50,+0.17%,"5,000","31,114","107,291",8.61,"327,572",35.94,2.27,
101,에스원,"81,100",700,-0.86%,500,"30,817","37,999",56.05,"68,713",21.69,10.48,
102,OCI,"129,000","5,500",-4.09%,"5,000","30,766","23,849",20.05,"385,907",-12.50,-9.89,
103,한국가스공사,"33,200",550,-1.63%,"5,000","30,648","92,313",9.41,"264,381",-17.81,-2.24,
104,LG화학우,"392,500","9,500",-2.36%,"5,000","30,179","7,689",63.91,"26,677",59.93,N/A,
105,만도,"63,300","1,600",-2.47%,"1,000","29,724","46,957",23.68,"491,220",514.63,0.37,
106,삼성엔지니어링,"15,150",50,+0.33%,"5,000","29,694","196,000",26.21,"3,755,867",12.13,16.75,
107,대우건설,"7,030",180,-2.50%,"5,000","29,218","415,623",9.49,"7,741,552",10.29,11.06,
108,한솔케미칼,"254,500","8,500",-3.23%,"5,000","28,848","11,335",40.75,"76,995",23.43,24.50,
109,GS리테일,"37,050",650,-1.72%,"1,000","28,528","77,000",15.19,"224,369",16.94,7.50,
110,휠라홀딩스,"46,650",700,-1.48%,"1,000","28,341","60,752",44.92,"518,381",20.41,10.94,
111,한화생명,"3,250",55,-1.66%,"5,000","28,227","868,530",7.50,"4,171,783",11.99,1.90,
112,한샘,"119,500","2,000",-1.65%,"1,000","28,123","23,534",23.75,"144,732",43.22,10.83,
113,CJ,"96,000","2,200",-2.24%,"5,000","28,010","29,177",18.90,"97,907",39.51,1.89,
114,BGF리테일,"158,500","4,500",-2.76%,"1,000","27,395","17,284",32.13,"29,311",22.32,18.60,
115,현대미포조선,"67,900","2,000",-2.86%,"5,000","27,121","39,942",12.83,"441,020",-139.14,-0.84,
116,신세계,"274,500","6,500",-2.31%,"5,000","27,025","9,845",26.30,"83,173",-26.11,-2.81,
117,DB하이텍,"60,800",200,+0.33%,"5,000","26,994","44,399",18.07,"1,739,219",16.30,23.07,
118,더존비즈온,"87,900","1,000",-1.12%,500,"26,669","30,341",39.87,"151,479",48.67,15.09,
119,현대차우,"108,000","1,500",-1.37%,"5,000","26,305","24,357",57.73,"100,067",21.00,N/A,
120,KCC,"293,000","7,000",+2.45%,"5,000","26,037","8,886",12.22,"76,894",4.37,12.79,
121,DL이앤씨,"134,000","2,500",-1.83%,"5,000","25,941","19,359",25.05,"287,733",N/A,N/A,
122,제일기획,"21,950",200,-0.90%,200,"25,252","115,041",32.70,"337,562",16.05,16.11,
123,F&F,"163,500","1,500",-0.91%,500,"25,179","15,400",10.40,"77,045",29.35,16.59,
124,하이트진로,"35,800",500,-1.38%,"5,000","25,108","70,134",7.18,"378,607",29.44,8.23,
125,포스코인터내셔널,"19,700",400,-1.99%,"5,000","24,305","123,375",10.84,"875,067",10.19,7.69,
126,한화,"31,800",650,-2.00%,"5,000","23,837","74,959",19.76,"327,879",14.56,4.79,
127,KODEX 200선물인버스2X,"1,990",70,+3.65%,0,"23,098","1,160,700",2.23,"249,753,914",N/A,N/A,
128,두산인프라코어,"10,400",150,-1.42%,"5,000","22,841","219,623",8.67,"2,207,017",14.71,6.47,
129,TIGER 200,"43,215",745,-1.69%,0,"22,666","52,450",0.00,"1,787,354",N/A,N/A,
130,메리츠화재,"18,450",400,-2.12%,500,"22,255","120,625",11.05,"277,142",4.91,16.91,
131,현대로템,"20,350","1,050",-4.91%,"5,000","22,210","109,142",6.14,"5,385,456",62.62,2.84,
132,BNK금융지주,"6,810",60,+0.89%,"5,000","22,196","325,935",39.11,"1,753,662",4.27,6.11,
133,메리츠금융지주,"16,400",550,-3.24%,500,"21,978","134,011",7.87,"178,997",4.57,16.06,
134,현대해상,"24,350",500,-2.01%,500,"21,769","89,400",38.29,"434,090",6.56,7.13,
135,LS,"66,700","1,600",-2.34%,"5,000","21,477","32,200",14.33,"218,249",16.93,3.94,
136,한화시스템,"19,000",0,0.00%,"5,000","20,944","110,230",3.32,"1,818,114",22.38,9.35,
137,오뚜기,"567,000","6,000",-1.05%,"5,000","20,820","3,672",16.37,"6,854",19.36,7.93,
138,대웅,"35,750",450,+1.27%,500,"20,786","58,142",4.49,"586,577",21.13,15.10,
139,효성,"98,600","5,300",+5.68%,"5,000","20,776","21,071",9.52,"319,300",-39.38,-2.26,
140,현대백화점,"88,700","1,400",-1.55%,"5,000","20,758","23,402",18.19,"139,430",29.52,1.65,
141,현대위아,"76,100","1,200",-1.55%,"5,000","20,695","27,195",8.66,"198,006",33.94,1.96,
142,대한유화,"311,000","8,500",-2.66%,"5,000","20,215","6,500",21.48,"76,433",15.89,6.93,
143,KODEX 단기채권,"102,805",0,0.00%,0,"20,042","19,495",0.00,"32,967",N/A,N/A,
144,한화에어로스페이스,"39,450","1,250",-3.07%,"5,000","19,974","50,630",18.17,"696,259",16.52,4.78,
145,프레스티지바이오파마,"32,950",300,+0.92%,0,"19,802","60,096",63.77,"1,023,753",N/A,N/A,
146,동국제강,"20,300",950,+4.91%,"5,000","19,373","95,433",27.04,"4,698,649",29.77,3.35,
147,효성첨단소재,"428,000","7,000",+1.66%,"5,000","19,174","4,480",10.33,"125,157","23,777.80",0.03,
148,아이에스동서,"62,000","1,500",+2.48%,500,"19,153","30,893",5.51,"121,085",15.42,10.92,
149,현대엘리베이,"46,500",650,-1.38%,"5,000","18,979","40,815",28.69,"398,357",19.64,9.78,
150,녹십자홀딩스,"39,850",550,-1.36%,500,"18,741","47,028",5.40,"397,596",11.55,19.74,
151,영원무역,"42,100",400,-0.94%,500,"18,655","44,311",26.28,"163,997",12.64,8.03,
152,KODEX 삼성그룹,"10,250",195,-1.87%,0,"18,583","181,300",0.03,"245,383",N/A,N/A,
153,HDC현대산업개발,"27,900",650,-2.28%,"5,000","18,388","65,907",10.46,"479,064",7.76,8.85,
154,롯데정밀화학,"69,000",300,-0.43%,"5,000","17,802","25,800",23.48,"278,868",8.96,12.65,
155,농심,"289,500","3,500",-1.19%,"5,000","17,609","6,083",16.25,"30,690",11.86,7.50,
156,LS ELECTRIC,"58,400",600,-1.02%,"5,000","17,520","30,000",14.82,"77,858",20.57,6.15,
157,코오롱인더,"64,400","1,400",+2.22%,"5,000","17,374","26,979",17.95,"379,437",9.42,9.70,
158,한국앤컴퍼니,"18,300",400,-2.14%,500,"17,373","94,935",9.24,"237,545",10.04,5.08,
159,한전기술,"43,750",650,+1.51%,200,"16,721","38,220",3.04,"1,085,509",83.02,N/A,
160,KODEX 레버리지,"27,820","1,015",-3.52%,0,"16,636","59,800",3.13,"29,015,874",N/A,N/A,
161,대웅제약,"143,000","4,000",+2.88%,"2,500","16,569","11,587",4.86,"94,888",129.88,2.38,
162,한미반도체,"33,050",150,+0.46%,200,"16,346","49,460",6.35,"635,910",34.25,21.03,
163,부광약품,"22,800",600,-2.56%,500,"16,202","71,063",5.27,"732,189",-225.74,-2.46,
164,종근당,"139,500","9,000",-6.06%,"2,500","15,939","11,426",8.65,"573,428",17.39,17.88,
165,한전KPS,"34,150","1,250",-3.53%,200,"15,368","45,000",9.78,"526,790",17.65,8.23,
166,KODEX 200TR,"13,970",220,-1.55%,0,"14,920","106,800",0.00,"237,229",N/A,N/A,
167,KG동부제철,"14,850",150,-1.00%,"5,000","14,851","100,009",0.16,"374,530",22.23,7.18,
168,KODEX MSCI Korea TR,"13,850",220,-1.56%,0,"14,750","106,500",0.00,"336,723",N/A,N/A,
169,NHN,"73,600",400,+0.55%,500,"14,400","19,565",11.03,"80,493",67.15,1.35,
170,DL,"92,800","1,300",-1.38%,"5,000","14,329","15,441",23.78,"245,789",7.09,11.84,
171,LG생활건강우,"682,000","8,000",-1.16%,"5,000","14,320","2,100",82.46,"6,212",15.15,N/A,
172,신세계인터내셔날,"198,500","3,000",-1.49%,"5,000","14,173","7,140",3.93,"21,062",27.84,8.24,
173,솔루스첨단소재,"45,250",950,-2.06%,100,"13,842","30,590",5.22,"235,029",-162.19,-5.10,
174,KODEX 2차전지산업,"19,485",220,-1.12%,0,"13,815","70,900",0.01,"1,295,272",N/A,N/A,
175,SK네트웍스,"5,510",110,-1.96%,"2,500","13,675","248,188",12.12,"1,314,879",39.64,1.63,
176,코스맥스,"136,000","2,000",-1.45%,500,"13,667","10,050",24.90,"83,189",63.94,6.23,
177,DGB금융지주,"8,060",40,+0.50%,"5,000","13,633","169,146",48.27,"658,001",4.10,6.93,
178,솔루엠,"27,750",950,+3.54%,500,"13,623","49,092",0.37,"3,804,215",28.26,43.26,
179,LG전자우,"77,500","2,000",-2.52%,"5,000","13,319","17,186",40.36,"213,996",7.12,N/A,
180,KODEX 종합채권(AA-이상)액티브,"109,160",35,-0.03%,0,"13,185","12,079",0.00,"2,776",N/A,N/A,
181,한국콜마,"57,600","2,500",-4.16%,500,"13,180","22,881",29.99,"455,799",8.22,29.27,
182,지누스,"83,400",500,+0.60%,500,"13,178","15,800",22.21,"39,594",28.64,11.61,
183,롯데리츠,"5,400",10,+0.19%,500,"13,120","242,969",9.62,"576,888",62.07,1.83,
184,세방전지,"93,000",400,-0.43%,500,"13,020","14,000",24.04,"146,583",19.65,6.14,
185,JB금융지주,"6,540",10,+0.15%,"5,000","12,883","196,983",40.39,"582,890",3.54,10.06,
186,롯데칠성,"141,000","7,500",+5.62%,500,"12,655","8,975",10.41,"93,913",-100.93,-1.00,
187,TIGER 단기통안채,"100,170",10,+0.01%,0,"12,626","12,605",0.94,"2,565",N/A,N/A,
188,한올바이오파마,"24,150",200,-0.82%,500,"12,616","52,241",6.47,"247,743",63.89,12.29,
189,더블유게임즈,"68,500",100,+0.15%,500,"12,587","18,375",12.24,"156,653",11.18,16.94,
190,롯데관광개발,"18,100",450,-2.43%,500,"12,539","69,276",4.53,"475,062",-15.30,-30.43,
191,다우기술,"27,200",900,-3.20%,500,"12,204","44,867",22.48,"305,483",4.43,18.85,
192,이노션,"61,000",200,-0.33%,500,"12,200","20,000",30.46,"57,420",19.22,8.28,
193,태광산업,"1,082,000","27,000",+2.56%,"5,000","12,047","1,113",7.63,"2,323",11.38,3.26,
194,KODEX 인버스,"3,820",70,+1.87%,0,"12,018","314,600",1.49,"43,432,248",N/A,N/A,
195,에스엘,"24,750",50,+0.20%,500,"11,930","48,203",14.85,"182,812",18.17,4.74,
196,삼양홀딩스,"139,000","14,000",+11.20%,"5,000","11,904","8,564",8.74,"368,831",12.05,6.96,
197,동원시스템즈,"46,300","1,050",-2.22%,"5,000","11,861","25,619",1.58,"53,833",23.28,10.97,
198,효성화학,"371,000","25,000",+7.23%,"5,000","11,835","3,190",9.12,"171,164",-101.90,-2.71,
199,LG상사,"30,500","1,000",-3.17%,"5,000","11,822","38,760",26.35,"449,206",3.97,23.72,
200,KBSTAR 200,"43,475",745,-1.68%,0,"11,760","27,050",0.00,"696,501",N/A,N/A,
